name,adress,distance_km,Distance,cleanliness,safety,waiting time,accessibility,maintainence,Link
Sudbahnhofstrasse,"Sudbahnhofstrasse None, Bern, 3007",1.864766051,8.1,7,6,5,9,8,"https://www.google.com/maps?q=46.9360623,7.4297943"
Weyermannsstrasse,"Weyermannsstrasse 31, Bern, 3008",2.124076681,7.9,7,8,9,8,8,"https://www.google.com/maps?q=46.9474659,7.4191103"
Bahnhofplatz,"Bahnhofplatz 7a, Bern, 3011",0.468368718,9.5,8,7,5,8,8,"https://www.google.com/maps?q=46.9482733,7.4408607"
Neufeldtunnel,"Studerstrasse None, Bern, 3004",1.995711521,8,6,7,9,9,6,"https://www.google.com/maps?q=46.9635073,7.4337914"
Engestrasse,"Wildparkstrasse None, Bern, 3012",1.192235503,8.8,8,7,9,6,7,"https://www.google.com/maps?q=46.9567892,7.4380256"
Munsterplatz,"Plattform None, Bern, 3011",0.33535201,9.7,7,10,5,5,8,"https://www.google.com/maps?q=46.946984,7.4511476"
Oberes Gerechtigkeitsgasschen,"Oberes Gerechtigkeitsgasschen None, Bern, 3011",0.529232339,9.5,8,7,8,9,8,"https://www.google.com/maps?q=46.9480522,7.4539513"
Aarstrasse,"Dalmazibrucke None, Bern, 3007",0.379085417,9.6,8,7,10,9,6,"https://www.google.com/maps?q=46.9448094,7.4452429"
Tierparkweg,"Tierparkweg 2b, Bern, 3005",1.607527739,8.4,9,7,7,8,8,"https://www.google.com/maps?q=46.9336373,7.4494467"
Marzili-Lounge,"Aarstrasse None, Bern, 3007",0.6519041,9.3,6,9,8,8,6,"https://www.google.com/maps?q=46.9425417,7.4438703"
Marzilistrasse,"Marzilistrasse None, Bern, 3007",0.787346694,9.2,8,9,9,7,8,"https://www.google.com/maps?q=46.9413204,7.4435622"
Helvetiaplatz,"Helvetiaplatz 3a, Bern, 3005",0.514789814,9.5,8,10,7,5,10,"https://www.google.com/maps?q=46.9437942,7.4498293"
Wagenremise Geschirrsammlung,"Papiermuhlestrasse None, Bern, 3014",1.626857217,8.4,6,9,9,9,6,"https://www.google.com/maps?q=46.9566784,7.4642077"
Bim Zytglogge,"Bim Zytglogge None, Bern, 3011",0.059761963,9.9,6,8,10,9,7,"https://www.google.com/maps?q=46.947999,7.447785"
Lorrainestrasse,"Lorrainestrasse None, Bern, 3013",0.873155877,9.1,8,9,8,9,8,"https://www.google.com/maps?q=46.9557256,7.4449325"
Neubruckstrasse,"Neubruckstrasse 2, Bern, 3011",0.613503386,9.4,7,8,8,9,8,"https://www.google.com/maps?q=46.9516918,7.4410099"
Waldkindergarten Chindertroum,"Schwarzenburgstrasse None, Bern, 3007",2.135312708,7.9,9,7,9,6,8,"https://www.google.com/maps?q=46.9359189,7.4251969"
Bernstrasse,"Bernstrasse 98, Bern, 3018",4.441145384,5.6,7,7,10,9,6,"https://www.google.com/maps?q=46.9396357,7.3899609"
Tierparkweg,"Tierparkweg 1, Bern, 3005",1.520968179,8.5,9,9,6,6,8,"https://www.google.com/maps?q=46.9344335,7.4495846"
Dahlholzli Eulen Bistro,"Tierparkweg 1, Bern, 3005",1.405805228,8.6,9,9,8,7,8,"https://www.google.com/maps?q=46.9355895,7.4505436"
Vorplatz,"Vorplatz None, Bern, 3012",0.68393384,9.3,8,9,5,6,8,"https://www.google.com/maps?q=46.9526672,7.4411466"
Cacilienplatz,"Balderstrasse 33, Bern, 3007",1.753655795,8.2,7,9,8,6,9,"https://www.google.com/maps?q=46.9421386,7.4256153"
Klubschule Migros,"Welle None, Bern, 3008",0.770424169,9.2,8,8,10,7,8,"https://www.google.com/maps?q=46.9480522,7.4368804"
Stockackerstrasse,"A12 None, Bern, 3008",3.089750254,6.9,7,7,8,7,8,"https://www.google.com/maps?q=46.9484571,7.40642"
Allmendstrasse,"Allmendstrasse 21, Bern, 3014",1.307352459,8.7,7,7,8,7,8,"https://www.google.com/maps?q=46.9593303,7.4515999"
Brunnenstrasse,"Brunnen None, Bern, 3027",5.098325873,4.9,8,8,10,7,7,"https://www.google.com/maps?q=46.9466446,7.3800612"
Holenackerplatz,"Holenackerplatz None, Bern, 3027",4.915031916,5.1,7,8,7,6,10,"https://www.google.com/maps?q=46.9486335,7.382445"
Murtenstrasse,"Murtenstrasse None, Bern, 3008",1.779147277,8.2,8,8,8,7,7,"https://www.google.com/maps?q=46.9500471,7.4238216"
Platanenhof,"Platanenhof None, Bern, 3012",1.482410991,8.5,6,8,9,9,7,"https://www.google.com/maps?q=46.9539868,7.4295997"
Platanenhof,"Platanenhof None, Bern, 3012",1.482504114,8.5,8,7,8,7,6,"https://www.google.com/maps?q=46.9539798,7.4295932"
Bremgartenstrasse,"Bremgartenstrasse 133, Bern, 3012",1.84846137,8.2,8,7,9,8,7,"https://www.google.com/maps?q=46.9592525,7.4291225"
Bremgartenstrasse,"Bremgartenstrasse 133, Bern, 3012",1.840496789,8.2,8,7,8,7,8,"https://www.google.com/maps?q=46.9588517,7.42874"
A12,"Ladenwandweg None, Bern, 3018",3.197013123,6.8,7,8,8,8,7,"https://www.google.com/maps?q=46.9467424,7.4050464"
Laubeggstrasse,"Laubeggstrasse None, Bern, 3013",1.109038043,8.9,8,9,10,9,6,"https://www.google.com/maps?q=46.952836,7.4597422"
Marzilistrasse,"Aarstrasse None, Bern, 3007",0.626306278,9.4,8,8,8,8,7,"https://www.google.com/maps?q=46.9428029,7.4438244"
Marzilistrasse ,"Marzilistrasse None, Bern, 3007",0.832431037,9.2,7,9,10,7,6,"https://www.google.com/maps?q=46.941217,7.4423687"
Marzilistrasse,"Aarstrasse None, Bern, 3007",0.515376032,9.5,8,8,8,9,8,"https://www.google.com/maps?q=46.9437149,7.4444167"
unnamed road,"Bottigenstrasse None, Bern, 3018",4.648281054,5.4,8,8,10,9,8,"https://www.google.com/maps?q=46.9400521,7.3870603"
Weyermannsstrasse ,"Bahnstrasse None, Bern, 3008",2.228843093,7.8,8,7,8,9,7,"https://www.google.com/maps?q=46.9497882,7.4178393"
unnamed road,"Ostermundigenstrasse None, Bern, 3006",2.107001641,7.9,6,9,8,7,7,"https://www.google.com/maps?q=46.9535312,7.473473"
Munsterplatz,"Munsterplattform None, Bern, 3011",0.339321955,9.7,9,10,6,6,10,"https://www.google.com/maps?q=46.9469923,7.4512072"
Munsterplatz,"Plattform None, Bern, 3011",0.337333025,9.7,9,9,8,5,8,"https://www.google.com/maps?q=46.9469882,7.4511774"
Manuelstrasse,"Manuelstrasse None, Bern, 3006",2.614844054,7.4,7,7,9,7,6,"https://www.google.com/maps?q=46.932611,7.472972"
Mingerstrasse,"Guisanplatz None, Bern, 3006",1.832089925,8.2,9,10,5,5,10,"https://www.google.com/maps?q=46.9590535,7.4648514"
Goumoënsstrasse,"GoumoÃ«nsstrasse None, Bern, 3007",2.007697182,8,8,9,9,7,8,"https://www.google.com/maps?q=46.9343136,7.429796"
Kids-Pumptrack Viererfeld,"Viererfeldweg None, Bern, 3012",1.777710881,8.2,6,8,9,9,7,"https://www.google.com/maps?q=46.9623376,7.4366582"
Schneiderstrasse,"Schneiderstrasse None, Koniz, 3084",2.218521149,7.8,6,9,8,7,7,"https://www.google.com/maps?q=46.9313291,7.4630159"
Schlossstrasse ,"Mutachstrasse None, Bern, 3008",2.229651015,7.8,7,8,9,8,8,"https://www.google.com/maps?q=46.9448548,7.4180757"
Brunnen Spielplatz,"Dammweg None, Bern, 3013",1.31280613,8.7,7,8,8,5,8,"https://www.google.com/maps?q=46.9598033,7.4464641"
Ringgenberg,"Grabenpromenade None, Bern, 3011",0.107840731,9.9,7,7,10,9,6,"https://www.google.com/maps?q=46.9487683,7.4478648"
Domicil Schwabgut,"Normannenstrasse None, Bern, 3018",3.815363515,6.2,6,9,10,8,8,"https://www.google.com/maps?q=46.9456533,7.3970018"
Muhledorfstrasse,"Muhledorfstrasse None, Bern, 3018",4.301489282,5.7,7,8,9,8,7,"https://www.google.com/maps?q=46.9454182,7.3906252"
Waldmannstrasse,"Waldmannstrasse None, Bern, 3027",4.393721988,5.6,7,9,7,8,7,"https://www.google.com/maps?q=46.9484621,7.3892901"
Alexandraweg,"Alexandraweg None, Bern, 3006",2.557534342,7.4,7,7,9,7,8,"https://www.google.com/maps?q=46.9338036,7.4734319"
Maulbeerstrasse,"Maulbeerstrasse None, Bern, 3008",0.779858056,9.2,6,7,8,9,8,"https://www.google.com/maps?q=46.9461158,7.4371328"
Schanzenstrasse,"Nydeggtreppe None, Bern, 3011",0.802517175,9.2,7,8,8,6,8,"https://www.google.com/maps?q=46.9482841,7.4575333"
Nydeggstalden,"Nydegghof None, Bern, 3011",0.772613583,9.2,8,8,6,7,8,"https://www.google.com/maps?q=46.9489835,7.4570466"
Gerechtigkeitsgasse,"Gerechtigkeitsgasse None, Bern, 3011",0.485814638,9.5,7,8,5,6,8,"https://www.google.com/maps?q=46.9482703,7.4533692"
Kramgasse,"Kramgasse None, Bern, 3011",0.347681664,9.7,9,10,8,5,10,"https://www.google.com/maps?q=46.9480963,7.4515648"
Munstergasse,"Munstergasse None, Bern, 3011",0.139410966,9.9,7,8,8,7,8,"https://www.google.com/maps?q=46.9475397,7.4487034"
Kramgasse,"Kramgasse None, Bern, 3011",0.128384735,9.9,9,9,5,6,10,"https://www.google.com/maps?q=46.9482103,7.4486582"
Schmiedenplatz,"Schmiedenplatz None, Bern, 3011",0.030449323,10,8,9,7,6,9,"https://www.google.com/maps?q=46.9482349,7.4472057"
Barenplatz,"Barenplatz None, Bern, 3011",0.232311776,9.8,8,7,5,9,9,"https://www.google.com/maps?q=46.9479278,7.4439503"
Schauplatzgasse,"Schauplatzgasse None, Bern, 3011",0.400668406,9.6,9,9,6,6,8,"https://www.google.com/maps?q=46.9475022,7.4417875"
Neubruckstrasse ,"Carlo Giuliani-Platz None, Bern, 3012",0.726709482,9.3,7,8,7,6,10,"https://www.google.com/maps?q=46.9528416,7.4405861"
Scheibenstrasse,"Scheibenstrasse 65, Bern, 3014",2.036148895,8,6,8,10,8,8,"https://www.google.com/maps?q=46.9660642,7.4514172"
Scheibenstrasse,"Scheibenstrasse 65, Bern, 3014",1.996020219,8,7,7,8,8,8,"https://www.google.com/maps?q=46.9656893,7.4514918"
Langmauerweg ,"Langmauerweg 20a, Bern, 3011",0.607875114,9.4,6,7,8,8,7,"https://www.google.com/maps?q=46.9498327,7.454523"
Bibliotheksgasschen ,"Bibliotheksgasschen None, Bern, 3011",0.185884526,9.8,8,9,10,8,7,"https://www.google.com/maps?q=46.947281,7.4492044"
Munstergasse,"Munstergasse None, Bern, 3011",0.148832019,9.9,9,10,6,7,8,"https://www.google.com/maps?q=46.9473215,7.4486853"
Tierparkweg ,"Tierparkweg 1, Bern, 3005",1.611206011,8.4,8,9,7,6,8,"https://www.google.com/maps?q=46.9336045,7.4494531"
Allmendstrasse ,"Allmendstrasse 21, Bern, 3014",1.303908288,8.7,7,8,9,7,7,"https://www.google.com/maps?q=46.9593054,7.4515617"
Wohlenstrasse ,"Wohlenstrasse 62c, Bern, 3032",5.132153179,4.9,7,9,9,9,6,"https://www.google.com/maps?q=46.9639387,7.3837227"
Schreiten und Gleiten,"Schreiten und Gleiten None, Bern, 3006",1.327672477,8.7,6,7,8,9,7,"https://www.google.com/maps?q=46.9442877,7.4635751"
Jubilaumsstrasse ,"Jubilaumsstrasse 101, Bern, 3005",1.434656618,8.6,6,8,10,9,8,"https://www.google.com/maps?q=46.9350957,7.4472104"
Jubilaumsstrasse ,"Jubilaumsstrasse 101, Bern, 3005",1.391455375,8.6,6,8,9,8,8,"https://www.google.com/maps?q=46.9354885,7.4475164"
Jubilaumsstrasse ,"Jubilaumsstrasse 101, Bern, 3005",1.374350994,8.6,6,9,10,8,8,"https://www.google.com/maps?q=46.9356485,7.4477661"
Jubilaumsstrasse ,"Jubilaumsstrasse None, Bern, 3005",1.344869427,8.7,7,7,9,7,7,"https://www.google.com/maps?q=46.9359473,7.4485178"
Reckweg,"Jurastrasse None, Bern, 3013",1.29309006,8.7,8,9,8,7,6,"https://www.google.com/maps?q=46.9592515,7.4426926"
Thunplatz ,"Thunplatz None, Bern, 3005",1.354066015,8.6,8,9,5,7,9,"https://www.google.com/maps?q=46.9393575,7.4595321"
Schanzenstrasse ,"Welle None, Bern, 3008",0.786073018,9.2,7,8,8,7,6,"https://www.google.com/maps?q=46.9479815,7.4366746"
Muhledorfstrasse,"Muhledorfstrasse None, Bern, 3018",4.334510367,5.7,6,7,10,9,6,"https://www.google.com/maps?q=46.945837,7.390153"
Gertrud-Woker-Strasse,"Gertrud-Woker-Strasse None, Bern, 3012",1.404623249,8.6,7,7,10,9,7,"https://www.google.com/maps?q=46.9519536,7.4294755"
Wasserwerkgasse ,"Wasserwerkgasse None, Bern, 3011",0.691137116,9.3,9,8,6,5,8,"https://www.google.com/maps?q=46.9465973,7.4558442"
Uferweg ,"Reckweg None, Bern, 3004",1.22783553,8.8,7,7,10,7,7,"https://www.google.com/maps?q=46.9585341,7.4421525"
Stockackerstrasse ,"Neue Murtenstrasse None, Bern, 3012",3.177525779,6.8,7,8,8,8,7,"https://www.google.com/maps?q=46.948881,7.4052812"
Stockackerstrasse,"Stockackerstrasse None, Bern, 3027",3.259566411,6.7,6,9,8,8,7,"https://www.google.com/maps?q=46.9483627,7.4041872"
Stockackerstrasse,"Stockackerstrasse None, Bern, 3027",3.25960874,6.7,6,9,9,8,7,"https://www.google.com/maps?q=46.9481618,7.4041841"
Little Istanbul,"A1 None, Bern, 3019",5.644444833,4.4,6,8,10,8,7,"https://www.google.com/maps?q=46.9442865,7.3730587"
Bomontiweg,"Bomontiweg None, Bern, 3006",1.775067985,8.2,8,8,8,7,6,"https://www.google.com/maps?q=46.9387241,7.4659767"
Gutenbergstrasse,"Muhlemattstrasse None, Bern, 3007",1.168296469,8.8,8,8,8,9,7,"https://www.google.com/maps?q=46.9422137,7.4341902"
Wohlenstrasse ,"Wohlenstrasse 62c, Bern, 3032",5.096870031,4.9,8,7,8,7,8,"https://www.google.com/maps?q=46.9649455,7.3847812"
Wohlenstrasse ,"Wohlenstrasse 62c, Bern, 3032",5.163781944,4.8,8,7,10,7,6,"https://www.google.com/maps?q=46.9646928,7.3836929"
Langmauerweg ,"Langmauerweg None, Bern, 3011",0.482161191,9.5,7,9,8,7,8,"https://www.google.com/maps?q=46.9494977,7.4529439"
Bottigenstrasse ,"Bottigenstrasse None, Bern, 3018",5.140745006,4.9,7,8,8,9,7,"https://www.google.com/maps?q=46.9376824,7.3811825"
Uferweg ,"Uferweg 42d, Bern, 3013",0.837094443,9.2,8,9,8,8,6,"https://www.google.com/maps?q=46.9547479,7.4421204"
Gerechtigkeitsgasschen,"Oberes Gerechtigkeitsgasschen None, Bern, 3011",0.532585605,9.5,7,8,9,8,7,"https://www.google.com/maps?q=46.9479023,7.4539943"
Postgasshalde ,"Brunngasshalde None, Bern, 3011",0.384396244,9.6,8,7,10,8,6,"https://www.google.com/maps?q=46.949,7.4518335"
Vorplatz,"Vorplatz None, Bern, 3012",0.684587902,9.3,8,8,7,5,8,"https://www.google.com/maps?q=46.952679,7.4411535"
Neubruckstrasse ,"Neubruckstrasse 166, Bern, 3012",2.03737115,8,6,7,8,8,6,"https://www.google.com/maps?q=46.9631999,7.4320468"
Reichenbachstrasse ,"Reichenbachstrasse 161, Bern, 3004",3.51645409,6.5,6,9,8,9,7,"https://www.google.com/maps?q=46.9795661,7.4440353"
