name,adress,distance_km,Distance,price level,Availability,crowd,service speed,Link
Denner,"Fellerstrasse None, Bern, 3027",4.361109501,5.6,8,8,8,7,"https://www.google.com/maps?q=46.9473338,7.3897234"
Vatter Royal,"Thunstrasse None, Bern, 3005",0.708130199,9.3,6,5,8,8,"https://www.google.com/maps?q=46.9428419,7.4524574"
Coop,"Hirschengraben None, Bern, 3011",0.734997455,9.3,7,8,6,8,"https://www.google.com/maps?q=46.9467817,7.4375109"
avec,"Bumplizstrasse 202, Bern, 3018",4.11740984,5.9,3,6,6,8,"https://www.google.com/maps?q=46.9374755,7.3951505"
Migrolino,"Fellerstrasse 33, Bern, 3027",4.726200083,5.3,7,8,6,7,"https://www.google.com/maps?q=46.9464282,7.3849625"
Akkara,"Lorrainestrasse 15, Bern, 3013",0.965078816,9,7,7,7,7,"https://www.google.com/maps?q=46.9565463,7.4447744"
Migrolino,"Winkelriedstrasse 10, Bern, 3014",2.4212276,7.6,5,10,8,7,"https://www.google.com/maps?q=46.9656321,7.4656726"
Yangdol,"Rathausgasse None, Bern, 3011",0.244300609,9.8,6,5,6,7,"https://www.google.com/maps?q=46.9484059,7.4501538"
Spar Express,"Bethlehemstrasse 123, Bern, 3018",3.535530513,6.5,6,6,6,7,"https://www.google.com/maps?q=46.9432959,7.401072"
Migros Daily,"Schanzenstrasse 5, Bern, 3000",0.786787088,9.2,5,9,8,8,"https://www.google.com/maps?q=46.9479062,7.4366661"
Eva's Apples,"Kramgasse 63, Bern, 3011",0.165458167,9.8,5,7,6,7,"https://www.google.com/maps?q=46.9478605,7.4491638"
avec,"Fabrikstrasse None, Bern, 3012",1.798816056,8.2,4,6,7,8,"https://www.google.com/maps?q=46.9557766,7.426278"
Migrolino,"Riedbachstrasse 104, Bern, 3027",5.800518407,4.2,5,10,9,8,"https://www.google.com/maps?q=46.9436305,7.3710782"
Migrol,"Mittelstrasse None, Bern, 3012",1.287622331,8.7,6,5,6,8,"https://www.google.com/maps?q=46.9547028,7.4332055"
Palette,"Munstergasse None, Bern, 3011",0.326982703,9.7,7,8,6,6,"https://www.google.com/maps?q=46.9476458,7.4512638"
Coop,"Neuengassunterfuhrung None, Bern, 3011",0.543704767,9.5,7,10,8,6,"https://www.google.com/maps?q=46.9492296,7.4400875"
Coop Take-Away,"Eigerplatz 5, Bern, 3007",1.417239322,8.6,7,8,9,6,"https://www.google.com/maps?q=46.9408746,7.4315642"
Petit Couteau,"Monbijoustrasse None, Bern, 3007",0.83007978,9.2,6,7,7,7,"https://www.google.com/maps?q=46.9454348,7.4367604"
Laden im Murifeld,"Mindstrasse None, Bern, 3015",1.950177937,8,7,6,6,6,"https://www.google.com/maps?q=46.941085,7.4705408"
Coop,"Wankdorfallee None, Bern, 3014",2.607929483,7.4,6,8,7,6,"https://www.google.com/maps?q=46.9680495,7.4647886"
Mosobna Market,"Seidenweg None, Bern, 3012",1.327677002,8.7,7,8,9,8,"https://www.google.com/maps?q=46.9540397,7.431954"
ruedu,"Reichenbachstrasse None, Bern, 3004",2.717990291,7.3,5,7,9,8,"https://www.google.com/maps?q=46.9724485,7.4472143"
Pinto Market,"Brunnenstrasse None, Bern, 3018",4.4030535,5.6,5,7,6,8,"https://www.google.com/maps?q=46.9420462,7.3898242"
ruedu,"Weltpoststrasse None, Bern, 3015",2.400181376,7.6,6,7,6,6,"https://www.google.com/maps?q=46.9385936,7.4753755"
ruedu,"Hallerstrasse 21, Bern, 3012",1.018000544,9,4,8,6,7,"https://www.google.com/maps?q=46.9532566,7.4360502"
ruedu,"Sudbahnhofstrasse None, Bern, 3007",1.855842257,8.1,4,6,4,8,"https://www.google.com/maps?q=46.9361528,7.4298274"
ruedu,"Muhledorfstrasse None, Bern, 3018",4.321815418,5.7,5,8,7,6,"https://www.google.com/maps?q=46.9458555,7.3903185"
depot huber,"Mutachstrasse None, Bern, 3008",2.310127962,7.7,4,5,7,7,"https://www.google.com/maps?q=46.945044,7.4169648"
Coloc,"Gerechtigkeitsgasse None, Bern, 3011",0.61180062,9.4,7,8,8,7,"https://www.google.com/maps?q=46.9486318,7.4549832"
Guter,"Tscharnerstrasse None, Bern, 3007",1.577491363,8.4,5,8,9,8,"https://www.google.com/maps?q=46.9415924,7.4285129"
ruedu,"Tschappatstrasse 14, Bern, 3014",2.079050234,7.9,4,6,6,7,"https://www.google.com/maps?q=46.9593207,7.4687397"
ruedu,"Monbijoustrasse None, Bern, 3007",1.566127226,8.4,5,7,7,8,"https://www.google.com/maps?q=46.9358546,7.4365776"
ruedu,"Freiburgstrasse None, Bern, 3010",1.63096535,8.4,6,6,6,6,"https://www.google.com/maps?q=46.9476436,7.4255829"
Coop,"Freiburgstrasse None, Bern, 3010",1.483680142,8.5,5,10,7,6,"https://www.google.com/maps?q=46.9480264,7.4275112"
ruedu,"Militarstrasse None, Bern, 3013",1.361879655,8.6,5,7,6,8,"https://www.google.com/maps?q=46.9587,7.4557116"
Asia Shoppy,"Brunnen None, Bern, 3027",5.566478231,4.4,7,5,8,5,"https://www.google.com/maps?q=46.9449505,7.3740195"
Coop,"Belpstrasse None, Bern, 3008",1.125080918,8.9,6,9,9,6,"https://www.google.com/maps?q=46.9446743,7.4330427"
Vomfass,"Kramgasse 64, Bern, 3011",0.175231165,9.8,5,8,9,6,"https://www.google.com/maps?q=46.9480497,7.4493006"
ruedu,"Felsenaustrasse None, Bern, 3004",2.771704191,7.2,6,8,9,8,"https://www.google.com/maps?q=46.9726057,7.4411267"
