name,adress,distance_km,Distance,Cost,Quality,Taste,Ambience,Links
Anker,"Schmiedenplatz None, Bern, 3011",0.053532323,9.9,7,6,7,6,"https://www.google.com/maps?q=46.9484579,7.4472176"
La Carbonara,"Quartiergasse 3, Bern, 3013",1.117081613,8.9,7,6,7,8,"https://www.google.com/maps?q=46.9580433,7.4465318"
Hof-Bistro,"Hofweg None, Bern, 3013",1.050896089,8.9,4,7,6,6,"https://www.google.com/maps?q=46.957451,7.4467117"
Okra,"Lorrainestrasse None, Bern, 3013",0.918093811,9.1,4,6,8,6,"https://www.google.com/maps?q=46.9561265,7.4448525"
Thormeli,"Thormannmatteliweg None, Bern, 3004",2.677424386,7.3,4,6,8,6,"https://www.google.com/maps?q=46.9707192,7.4586736"
Ristaurante Pizzeria Settebello,"Freiburgstrasse None, Bern, 3008",2.229895036,7.8,5,8,9,7,"https://www.google.com/maps?q=46.9463221,7.4178124"
Eymatt 62,"Wohlenstrasse None, Bern, 3027",5.127694725,4.9,6,6,8,8,"https://www.google.com/maps?q=46.9640973,7.3838708"
Jager,"Murtenstrasse None, Bern, 3027",3.710102547,6.3,4,8,6,7,"https://www.google.com/maps?q=46.9489056,7.3982836"
Da Carlo,"Seilerstrasse None, Bern, 3008",0.926513364,9.1,7,8,7,8,"https://www.google.com/maps?q=46.9459784,7.4351935"
National,"Maulbeerstrasse None, Bern, 3007",0.776628062,9.2,6,6,7,6,"https://www.google.com/maps?q=46.9461485,7.4371636"
Falken,"Munstergasse None, Bern, 3011",0.149078385,9.9,7,8,8,7,"https://www.google.com/maps?q=46.9476025,7.4488702"
cinematte,"Wasserwerkgasse None, Bern, 3011",0.784304045,9.2,7,6,8,7,"https://www.google.com/maps?q=46.946615,7.4571016"
dr Suder,"Weissensteinstrasse None, Bern, 3007",1.768753132,8.2,6,8,6,8,"https://www.google.com/maps?q=46.9385585,7.4283012"
Bahnhof Weissenbuhl,"Chutzenstrasse None, Bern, 3007",1.820696594,8.2,4,8,7,8,"https://www.google.com/maps?q=46.9362287,7.4303738"
Toscana,"Seftigenstrasse None, Bern, 3007",1.583164261,8.4,4,6,7,8,"https://www.google.com/maps?q=46.9378401,7.4324293"
Brasserie Barengraben,"Grosser Muristalden 1, Bern, 3006",0.943729094,9.1,6,8,7,9,"https://www.google.com/maps?q=46.9485322,7.459372"
Eiger,"Eigerplatz None, Bern, 3007",1.400664934,8.6,4,8,8,7,"https://www.google.com/maps?q=46.9415952,7.4311571"
Nari,"Belpstrasse None, Bern, 3007",1.379043599,8.6,5,6,8,8,"https://www.google.com/maps?q=46.9418223,7.4312926"
da Nino,"Philosophenweg None, Bern, 3007",1.361092916,8.6,7,7,7,8,"https://www.google.com/maps?q=46.9420149,7.4314041"
Yaadein,"Mattenhofstrasse None, Bern, 3007",1.27849953,8.7,7,7,6,8,"https://www.google.com/maps?q=46.9429002,7.4319485"
Piccola Napoli,"Monbijoustrasse None, Bern, 3008",0.982542607,9,6,6,8,8,"https://www.google.com/maps?q=46.9432488,7.4361178"
federal,"Barenplatz None, Bern, 3011",0.236828958,9.8,4,6,8,8,"https://www.google.com/maps?q=46.9474101,7.4440108"
Roschtigrabe,"Barenplatz 11, Bern, 3011",0.228550817,9.8,6,7,7,7,"https://www.google.com/maps?q=46.947796,7.4440127"
Santa Lucia,"Barenplatz None, Bern, 3011",0.22965407,9.8,4,7,6,6,"https://www.google.com/maps?q=46.9478846,7.4439881"
Piazza Italia,"Barenplatz None, Bern, 3011",0.232093106,9.8,5,7,7,8,"https://www.google.com/maps?q=46.9480522,7.4439523"
Da Vinci,"Waisenhausplatz None, Bern, 3011",0.282772235,9.7,6,7,7,7,"https://www.google.com/maps?q=46.9484276,7.4433385"
Molino,"Waisenhausplatz None, Bern, 3011",0.237198353,9.8,5,6,6,6,"https://www.google.com/maps?q=46.9486,7.44401"
Luce,"Waisenhausplatz None, Bern, 3011",0.237901559,9.8,6,7,6,6,"https://www.google.com/maps?q=46.9492827,7.4444986"
Oliv,"Waisenhausplatz None, Bern, 3011",0.295327171,9.7,4,8,8,7,"https://www.google.com/maps?q=46.94969,7.4440069"
Schalander,"Zeughausgasse None, Bern, 3011",0.077245857,9.9,7,8,6,7,"https://www.google.com/maps?q=46.9486658,7.4467097"
piu,"Zeughausgasse None, Bern, 3011",0.102417282,9.9,4,6,8,7,"https://www.google.com/maps?q=46.9488891,7.4473524"
Ringgenberg,"Grabenpromenade None, Bern, 3011",0.105471207,9.9,7,8,8,7,"https://www.google.com/maps?q=46.94874,7.447867"
Trattoria Sempre,"Zytglogge-Passage None, Bern, 3011",0.061487864,9.9,5,8,7,8,"https://www.google.com/maps?q=46.9482752,7.4477006"
Lorenzini,"Theaterplatz None, Bern, 3011",0.059945956,9.9,4,10,9,9,"https://www.google.com/maps?q=46.9476682,7.4476207"
Zimmermania,"Brunngasse 19, Bern, 3011",0.213801032,9.8,5,8,6,6,"https://www.google.com/maps?q=46.9488688,7.4495055"
Zunft zu Webern,"Gerechtigkeitsgasse None, Bern, 3011",0.451618899,9.5,4,6,8,6,"https://www.google.com/maps?q=46.9483345,7.4529121"
Krone,"Gerechtigkeitsgasse None, Bern, 3011",0.462105814,9.5,5,7,7,8,"https://www.google.com/maps?q=46.9482676,7.4530574"
Zehendermatteli,"Reichenbachstrasse 161, Bern, 3004",3.511969701,6.5,4,6,6,8,"https://www.google.com/maps?q=46.9795319,7.44418"
Ristorante Aurelis,"Bumplizstrasse 12, Bern, 3027",3.83847505,6.2,6,8,7,8,"https://www.google.com/maps?q=46.9487728,7.3965921"
Mona Lisa,"Kornweg None, Bern, 3027",4.118802296,5.9,5,7,8,8,"https://www.google.com/maps?q=46.9500985,7.3929834"
Restaurant Neubruck,"Neubruckstrasse 204, Bern, 3012",3.126867711,6.9,6,9,7,9,"https://www.google.com/maps?q=46.9730715,7.4283784"
Blumenfeld,"Murtenstrasse 265, Bern, 3027",4.132999575,5.9,5,6,7,7,"https://www.google.com/maps?q=46.9489179,7.3927272"
Chu Garden,"Seftigenstrasse None, Bern, 3007",1.683554567,8.3,5,8,8,6,"https://www.google.com/maps?q=46.9362486,7.4330527"
andstation,"Seftigenstrasse None, Bern, 3007",1.695820514,8.3,4,8,7,6,"https://www.google.com/maps?q=46.9359372,7.4333667"
Lotschberg,"Zeughausgasse None, Bern, 3011",0.170670484,9.8,6,8,8,7,"https://www.google.com/maps?q=46.9491041,7.4454423"
Mishio,"Barenplatz 2, Bern, 3011",0.275261358,9.7,6,8,8,8,"https://www.google.com/maps?q=46.9479829,7.4433844"
Il Profeta,"Winkelriedstrasse 56, Bern, 3014",1.878867953,8.1,7,6,6,8,"https://www.google.com/maps?q=46.9637361,7.4560047"
Mekong,"Zytglogge-Passage None, Bern, 3011",0.085192077,9.9,5,6,8,6,"https://www.google.com/maps?q=46.9482359,7.4480647"
Pizzeria L'Angolo,"Weissensteinstrasse None, Bern, 3008",2.316372369,7.7,5,8,9,7,"https://www.google.com/maps?q=46.9407934,7.4184531"
Rosengarten,"Alter Aargauerstalden 31b, Bern, 3006",1.081998666,8.9,5,7,8,8,"https://www.google.com/maps?q=46.950927,7.460555"
Sous le Pont,"Neubruckstrasse 8, Bern, 3012",0.72860837,9.3,7,7,6,6,"https://www.google.com/maps?q=46.9528647,7.4405862"
Azzurro,"Murtenstrasse 2, Bern, 3008",1.42649044,8.6,5,6,7,6,"https://www.google.com/maps?q=46.9483374,7.4282688"
Casa d'Italia,"Buhlstrasse None, Bern, 3012",1.239117857,8.8,4,8,8,6,"https://www.google.com/maps?q=46.9526763,7.4322247"
Black,"Amthausgasse None, Bern, 3011",0.063199442,9.9,4,8,8,8,"https://www.google.com/maps?q=46.9474365,7.4468902"
Domino,"Schwanengasse None, Bern, 3011",0.611041232,9.4,7,7,6,8,"https://www.google.com/maps?q=46.9469538,7.4391205"
Ludmilla,"Flurstrasse None, Bern, 3014",1.480322482,8.5,4,7,7,8,"https://www.google.com/maps?q=46.9611333,7.4502091"
Seidenhof,"Zahringerstrasse None, Bern, 3012",1.392175681,8.6,7,7,6,8,"https://www.google.com/maps?q=46.9561684,7.4331378"
Kairo,"Dammweg None, Bern, 3013",1.190688406,8.8,4,6,7,7,"https://www.google.com/maps?q=46.9587028,7.446406"
Romer,"Romerweg None, Bern, 3013",1.157404169,8.8,5,7,7,8,"https://www.google.com/maps?q=46.9583991,7.4477306"
Schongrun,"Monument im Fruchtland None, Bern, 3006",2.064203811,7.9,7,6,6,6,"https://www.google.com/maps?q=46.9500279,7.4739526"
Pflaumen Garden,"Thunstrasse 115, Bern, 3006",1.57730154,8.4,7,6,7,6,"https://www.google.com/maps?q=46.9418075,7.46564"
Pokhara Nepali Kitchen,"Thunstrasse 93, Bern, 3006",1.414090035,8.6,7,8,8,6,"https://www.google.com/maps?q=46.9412968,7.4627853"
Steinhalle,"Helvetiaplatz 5, Bern, 3000",0.575606805,9.4,5,10,10,9,"https://www.google.com/maps?q=46.9429595,7.4487291"
Amma Masala,"Sonnenhofweg None, Bern, 3006",1.977148888,8,5,8,7,7,"https://www.google.com/maps?q=46.9439815,7.4722982"
angelibeck,"Schwarztorstrasse None, Bern, 3008",1.183354218,8.8,7,8,8,8,"https://www.google.com/maps?q=46.9446901,7.4322271"
Calabrisella,"Weingartstrasse None, Bern, 3014",1.709097945,8.3,6,7,8,8,"https://www.google.com/maps?q=46.9623208,7.4551664"
Roseto,"Spitalackerstrasse None, Bern, 3013",1.047633126,9,5,6,7,6,"https://www.google.com/maps?q=46.9537549,7.4578977"
Buner,"Kasernenstrasse None, Bern, 3013",1.252818007,8.7,7,8,6,6,"https://www.google.com/maps?q=46.9571668,7.456573"
Strada,"Giacomettistrasse None, Bern, 3006",1.993300581,8,7,6,8,8,"https://www.google.com/maps?q=46.9452602,7.4728748"
Migros Restaurant,"Giacomettistrasse 15, Bern, 3006",1.937092157,8.1,4,7,8,8,"https://www.google.com/maps?q=46.945555,7.4721923"
Dolce Vita,"Scheibenstrasse None, Bern, 3014",1.511583425,8.5,4,7,6,7,"https://www.google.com/maps?q=46.9608671,7.4534189"
Lokal,"Rutlistrasse None, Bern, 3013",1.414441665,8.6,6,6,6,6,"https://www.google.com/maps?q=46.9587854,7.4568571"
Migros Restaurant,"Wankdorffeldstrasse 71, Bern, 3014",2.319888041,7.7,4,8,7,9,"https://www.google.com/maps?q=46.9656875,7.463173"
Campania,"Zentweg 19, Bern, 3006",2.312179541,7.7,6,6,8,6,"https://www.google.com/maps?q=46.9563167,7.4748399"
tulsi,"Freiestrasse None, Bern, 3012",1.819200556,8.2,4,8,6,8,"https://www.google.com/maps?q=46.9543139,7.424953"
Waldheim,"Freiestrasse None, Bern, 3012",1.701350096,8.3,7,7,6,7,"https://www.google.com/maps?q=46.9541574,7.4265394"
Aloha Burger,"Mittelholzerstrasse None, Bern, 3006",2.659263726,7.3,6,7,7,8,"https://www.google.com/maps?q=46.9590043,7.4780182"
Caledonia,"Mingerstrasse 16, Bern, 3014",1.875010348,8.1,7,7,7,8,"https://www.google.com/maps?q=46.9578432,7.4670016"
Restaurant & Bar ALLMEND,"Tschappatstrasse 6, Bern, 3014",2.04802318,8,5,9,8,9,"https://www.google.com/maps?q=46.9599715,7.4674497"
Arena Restaurant,"Tschappatstrasse 12, Bern, 3014",1.981210652,8,6,8,8,8,"https://www.google.com/maps?q=46.9583091,7.4682301"
Warteck,"Freiestrasse None, Bern, 3012",1.596368149,8.4,4,6,6,8,"https://www.google.com/maps?q=46.9538448,7.4278455"
Altenberg,"Altenbergrain None, Bern, 3013",0.348578036,9.7,5,8,6,7,"https://www.google.com/maps?q=46.951134,7.4471437"
Restaurant Giardino,"Kornhausstrasse 3, Bern, 3013",0.583749255,9.4,6,8,7,8,"https://www.google.com/maps?q=46.9530929,7.4488673"
Del Gusto,"Spitalackerstrasse None, Bern, 3013",1.010816551,9,4,6,7,8,"https://www.google.com/maps?q=46.9563407,7.4522871"
Hellys,"Schwanengasse None, Bern, 3011",0.641258613,9.4,4,6,6,7,"https://www.google.com/maps?q=46.9467151,7.4387885"
Treffpunkt,"Papiermuhlestrasse None, Bern, 3014",1.3085013,8.7,7,7,8,8,"https://www.google.com/maps?q=46.9557116,7.4599859"
3dosha ayurveda,"Moserstrasse 25, Bern, 3014",1.099959144,8.9,6,7,7,8,"https://www.google.com/maps?q=46.9571464,7.4525114"
Lory,"Konizstrasse 7, Bern, 3008",1.996533574,8,6,7,8,6,"https://www.google.com/maps?q=46.9441128,7.4213972"
India4u,"Kapellenstrasse None, Bern, 3007",1.061576666,8.9,7,9,9,6,"https://www.google.com/maps?q=46.9454979,7.4335432"
Suban Thai Eatery,"Romerweg None, Bern, 3014",1.154171258,8.8,7,8,9,7,"https://www.google.com/maps?q=46.9583817,7.4471237"
Michelangelo,"Stauffacherplatz None, Bern, 3014",1.489102244,8.5,4,7,7,8,"https://www.google.com/maps?q=46.9603909,7.4544306"
Eleven,"Papiermuhlestrasse 71, Bern, 3014",2.085554338,7.9,5,8,6,6,"https://www.google.com/maps?q=46.9621055,7.4650634"
Coop Restaurant,"Papiermuhlestrasse None, Bern, 3014",2.080145632,7.9,4,7,7,8,"https://www.google.com/maps?q=46.962292,7.4646381"
Chez SBB,"Wylerstrasse 125, Bern, 3014",1.492738749,8.5,4,7,8,8,"https://www.google.com/maps?q=46.9614225,7.4464629"
Wylerhuus,"Wylerringstrasse None, Bern, 3014",1.849160421,8.2,6,6,7,7,"https://www.google.com/maps?q=46.9641604,7.4527535"
mensa Five,"Lorrainestrasse 5a, Bern, 3013",0.893313674,9.1,5,8,6,8,"https://www.google.com/maps?q=46.9558918,7.4447901"
Veranda,"Schanzeneckstrasse 25, Bern, 3012",1.115037012,8.9,6,7,8,7,"https://www.google.com/maps?q=46.9503977,7.4327778"
Namsan,"Lorrainestrasse None, Bern, 3013",1.011304877,9,4,7,6,7,"https://www.google.com/maps?q=46.9569927,7.4449947"
Bayou Bar & Grill,"Hofweg None, Bern, 3013",1.008083086,9,6,8,6,6,"https://www.google.com/maps?q=46.9569712,7.4450707"
Nuda,"Morillonstrasse None, Bern, 3007",1.512647513,8.5,4,7,7,6,"https://www.google.com/maps?q=46.9366823,7.4359715"
Serini Kantine,"Friedheimweg None, Bern, 3007",1.526458965,8.5,6,7,7,7,"https://www.google.com/maps?q=46.9358231,7.4377355"
Wylerbad,"Scheibenstrasse 65e, Bern, 3014",1.956418087,8,7,6,6,6,"https://www.google.com/maps?q=46.9652021,7.4524241"
al parco,"Stauffacherstrasse 65, Bern, 3014",2.114511456,7.9,4,6,8,8,"https://www.google.com/maps?q=46.9663233,7.4544525"
Litten Greek Taverna,"Burenstrasse None, Bern, 3007",1.312719521,8.7,4,7,6,8,"https://www.google.com/maps?q=46.9373695,7.4394939"
Tangi-Curry,"Eigerstrasse None, Bern, 3007",1.068930328,8.9,8,8,10,6,"https://www.google.com/maps?q=46.9395675,7.4402537"
Maharani Palace,"Sulgenauweg 38, Bern, 3007",1.38667726,8.6,5,6,6,7,"https://www.google.com/maps?q=46.9377931,7.436531"
Taishi,"Seftigenstrasse None, Bern, 3007",1.622571323,8.4,7,6,8,6,"https://www.google.com/maps?q=46.9342461,7.4398684"
Da Rina,"Eigerplatz None, Bern, 3007",1.456084567,8.5,6,8,8,8,"https://www.google.com/maps?q=46.941157,7.4306926"
Mezze de Beirut,"Philosophenweg None, Bern, 3007",1.331159163,8.7,4,7,7,6,"https://www.google.com/maps?q=46.9419805,7.4318855"
Perla Nera,"Seftigenstrasse 32, Bern, 3007",1.674830049,8.3,6,6,7,7,"https://www.google.com/maps?q=46.9370386,7.4319093"
Villa Stucki,"Seftigenstrasse None, Bern, 3007",1.458578882,8.5,4,8,7,7,"https://www.google.com/maps?q=46.9392316,7.432749"
Spysi,"Junkerngasse 30, Bern, 3011",0.537142233,9.5,5,6,7,8,"https://www.google.com/maps?q=46.9478937,7.4540539"
Brunnhof,"Lilienweg None, Bern, 3007",1.488831011,8.5,5,7,8,7,"https://www.google.com/maps?q=46.9439936,7.4283398"
Fu Lin,"Schwarztorstrasse None, Bern, 3007",1.380377548,8.6,7,6,6,6,"https://www.google.com/maps?q=46.9447836,7.4294875"
Kabul,"Morillonstrasse 8, Bern, 3007",1.537703863,8.5,7,8,7,6,"https://www.google.com/maps?q=46.9364737,7.4358352"
YIKOU SUSHI Garden,"Weissensteinstrasse 6a, Bern, 3008",2.548342995,7.5,8,8,10,6,"https://www.google.com/maps?q=46.9415327,7.4148881"
Trattoria Bella Italia,"Freiburgstrasse None, Bern, 3008",3.254114381,6.7,5,7,9,7,"https://www.google.com/maps?q=46.9424909,7.4050217"
O Cantino,"Freiburgstrasse None, Bern, 3008",2.825262544,7.2,4,8,6,6,"https://www.google.com/maps?q=46.9424677,7.4107807"
Caffe Italia,"Schlossstrasse 129, Bern, 3008",2.836481809,7.2,7,7,8,6,"https://www.google.com/maps?q=46.9436979,7.4102764"
Weyermannshaus,"Bahnstrasse 22, Bern, 3008",2.531093915,7.5,4,8,7,7,"https://www.google.com/maps?q=46.9479929,7.4137529"
Can Grillhaus,"Freiburgstrasse 18, Bern, 3010",1.709948076,8.3,4,8,7,8,"https://www.google.com/maps?q=46.9496815,7.4246733"
Bigote Verde,"Zieglerstrasse None, Bern, 3008",1.370943642,8.6,6,6,7,6,"https://www.google.com/maps?q=46.9477884,7.4289947"
Rialto,"Aarbergergasse None, Bern, 3011",0.30090509,9.7,5,7,7,7,"https://www.google.com/maps?q=46.9495071,7.4437168"
Casa Marcello,"Aarbergergasse 19, Bern, 3011",0.332770943,9.7,5,8,6,8,"https://www.google.com/maps?q=46.9493437,7.443094"
Namaste India City Restaurant,"Neuengass-Passage 3, Bern, 3011",0.311539627,9.7,7,7,9,6,"https://www.google.com/maps?q=46.9492518,7.4433387"
Aarbergerhof,"Aarbergerhof None, Bern, 3011",0.404237647,9.6,6,6,6,6,"https://www.google.com/maps?q=46.9499881,7.442554"
Nooch Asian Kitchen,"Aarbergergasse 52, Bern, 3011",0.429415744,9.6,6,7,9,6,"https://www.google.com/maps?q=46.9498468,7.4420458"
Holy Cow! Gourmet Burger Co.,"Aarbergergasse None, Bern, 3011",0.384032041,9.6,4,8,6,8,"https://www.google.com/maps?q=46.9497246,7.4426291"
musigbistrot,"Muhlemattstrasse None, Bern, 3007",1.19544099,8.8,7,7,6,8,"https://www.google.com/maps?q=46.9425205,7.4334896"
Pittaria,"Falkenplatz 1, Bern, 3012",0.901143471,9.1,7,8,7,6,"https://www.google.com/maps?q=46.9505105,7.4357448"
Cavallo Star,"Bubenbergplatz 8, Bern, 3011",0.666160431,9.3,7,6,8,6,"https://www.google.com/maps?q=46.9475754,7.4382717"
Le Carrousel,"Hallerstrasse 1, Bern, 3012",0.985617519,9,6,6,8,6,"https://www.google.com/maps?q=46.9515314,7.4351244"
Allresto,"Effingerstrasse 20, Bern, 3008",0.993473422,9,5,6,6,7,"https://www.google.com/maps?q=46.9461258,7.4342407"
chlyne Hecht,"Seidenweg None, Bern, 3012",1.30254028,8.7,7,6,7,6,"https://www.google.com/maps?q=46.9540375,7.4323361"
La Vita,"Engestrasse None, Bern, 3012",1.232609853,8.8,6,8,6,6,"https://www.google.com/maps?q=46.9570893,7.4377268"
Arirang,"Wallgasse None, Bern, 3011",0.683782136,9.3,4,8,6,8,"https://www.google.com/maps?q=46.9464162,7.4383212"
Cafe Neufeld,"Neubruckstrasse 166, Bern, 3012",2.03207946,8,7,9,9,9,"https://www.google.com/maps?q=46.963175,7.4321173"
da Bucolo,"Amthausgasse None, Bern, 3011",0.074103603,9.9,7,8,7,7,"https://www.google.com/maps?q=46.9474238,7.4465106"
The BEEF,"Kramgasse None, Bern, 3011",0.130864896,9.9,6,6,8,6,"https://www.google.com/maps?q=46.9481471,7.4487055"
Restaurant Berner Technologiepark,"Morgenstrasse None, Bern, 3018",4.62566677,5.4,4,9,8,7,"https://www.google.com/maps?q=46.9345906,7.3894886"
Postgasse,"Postgasse None, Bern, 3011",0.559196284,9.4,6,6,6,7,"https://www.google.com/maps?q=46.9490126,7.454195"
Goldener Schlussel,"Rathausgasse None, Bern, 3011",0.146889375,9.9,5,8,7,8,"https://www.google.com/maps?q=46.9486119,7.4487101"
Tre Fratelli,"Laupenstrasse 17, Bern, 3008",0.919641491,9.1,5,6,8,8,"https://www.google.com/maps?q=46.9471272,7.4349876"
Coop Restaurant,"Starnewagli None, Bern, 3018",4.291607574,5.7,4,9,7,8,"https://www.google.com/maps?q=46.9411104,7.3915363"
Verdi,"Gerechtigkeitsgasse None, Bern, 3011",0.639127715,9.4,6,6,7,7,"https://www.google.com/maps?q=46.9484571,7.4553687"
Lumi,"Postgasshalde None, Bern, 3011",0.660681028,9.3,7,6,6,7,"https://www.google.com/maps?q=46.9488462,7.45559"
Harmonie,"Munstergasse None, Bern, 3011",0.106482004,9.9,6,7,6,7,"https://www.google.com/maps?q=46.9475899,7.448264"
Commerce,"Gerechtigkeitsgasse None, Bern, 3011",0.431595344,9.6,4,7,8,7,"https://www.google.com/maps?q=46.948233,7.452659"
Ratskeller,"Gerechtigkeitsgasse None, Bern, 3011",0.41509336,9.6,5,6,6,6,"https://www.google.com/maps?q=46.9479084,7.4524508"
Barenhofli,"Zeughausgasse 41, Bern, 3011",0.219438931,9.8,5,9,8,7,"https://www.google.com/maps?q=46.9490008,7.4445155"
Zum ausseren Stand,"Zeughausgasse None, Bern, 3011",0.117330779,9.9,4,7,6,8,"https://www.google.com/maps?q=46.948748,7.4459127"
Cha Cha Thai,"Von-Werdt-Passage None, Bern, 3011",0.401912185,9.6,8,7,8,7,"https://www.google.com/maps?q=46.9484601,7.4417636"
Soriya Asia Restaurant,"Zibelegassli None, Bern, 3011",0.111464394,9.9,8,9,8,7,"https://www.google.com/maps?q=46.9483873,7.4483505"
Della Casa,"Storchengasschen None, Bern, 3011",0.360939924,9.6,6,8,7,7,"https://www.google.com/maps?q=46.9474877,7.4423183"
Ligu Lehm,"Muhlenplatz None, Bern, 3011",0.718231327,9.3,6,8,7,8,"https://www.google.com/maps?q=46.9470678,7.4563355"
Dogan,"Freiburgstrasse 123, Bern, 3008",2.811339685,7.2,4,6,7,7,"https://www.google.com/maps?q=46.9430694,7.4107821"
Dicle Pizza,"Rehhagstrasse 2, Bern, 3018",4.526531244,5.5,6,8,7,7,"https://www.google.com/maps?q=46.9392919,7.3889223"
Osteria da Santo,"Bernstrasse 79, Bern, 3018",4.173390936,5.8,5,7,7,7,"https://www.google.com/maps?q=46.9409166,7.3931688"
Lo Stuzzichino,"Rathausgasse None, Bern, 3011",0.296293947,9.7,4,7,6,8,"https://www.google.com/maps?q=46.9483829,7.4508516"
Time out,"Papiermuhlestrasse None, Bern, 3014",1.298995712,8.7,7,6,6,6,"https://www.google.com/maps?q=46.9568043,7.4582192"
Bella Vita,"Bolligenstrasse 52, Bern, 3006",1.785706499,8.2,5,6,7,7,"https://www.google.com/maps?q=46.9558307,7.4674815"
Marzilibrucke,"Bruckenstrasse None, Bern, 3007",0.392717502,9.6,7,6,6,6,"https://www.google.com/maps?q=46.9448768,7.4445896"
Nooch,"Viktoriaplatz 1, Bern, 3013",0.854474187,9.1,6,6,7,6,"https://www.google.com/maps?q=46.954986,7.4516808"
Visana Laubegg,"Laubeggstrasse None, Bern, 3006",1.405009437,8.6,6,6,8,8,"https://www.google.com/maps?q=46.9485681,7.4654369"
Grottino by Metzgerstubli,"Dalmaziquai None, Bern, 3005",1.324342587,8.7,7,6,7,8,"https://www.google.com/maps?q=46.9361377,7.4454001"
Kornhauskeller,"Schmiedenplatz None, Bern, 3011",0.078800961,9.9,3,9,9,9,"https://www.google.com/maps?q=46.9486879,7.4472497"
maimin HAPPY NOODLES,"Herrengasse None, Bern, 3011",0.218965148,9.8,6,6,6,7,"https://www.google.com/maps?q=46.9471883,7.4496206"
Volver,"Rathausplatz None, Bern, 3011",0.39361638,9.6,5,8,8,6,"https://www.google.com/maps?q=46.9483881,7.4521392"
Reiterstrasse Kantonale Verwaltung,"Reiterstrasse None, Bern, 3006",1.326069838,8.7,6,7,7,6,"https://www.google.com/maps?q=46.9536959,7.4623052"
fugu,"Gerechtigkeitsgasse None, Bern, 3011",0.649589467,9.4,7,7,7,7,"https://www.google.com/maps?q=46.9487969,7.455453"
Donsel,"Rathausgasse None, Bern, 3011",0.293213251,9.7,7,7,6,6,"https://www.google.com/maps?q=46.9486068,7.4507482"
